Subject,Lecture,Pre,Pos,Delta,Performance,Age,Scholar
ST01,Prog,3.4,3.5,0.1,2.5,6,1
ST01,Robo,3.3,3.9,0.6,1.75,6,1
ST01,Desi,3.6,3.5,-0.1,2.5,6,1
DJ01,Prog,3.1,3.8,0.7,2.75,9,4
DJ01,Robo,3.6,3.8,0.2,4.25,9,4
DJ01,Desi,3.8,3.5,-0.3,4.5,9,4
DJ02,Prog,2.5,2.4,-0.1,2.5,11,5
DJ02,Robo,3,2.5,-0.5,2.25,11,5
DJ02,Desi,3,2.4,-0.6,3.5,11,5
DJ03,Prog,3.3,3.3,0,3,11,6
DJ03,Robo,3.2,3.5,0.3,2.75,11,6
DJ03,Desi,3.2,3.1,-0.1,4.75,11,6
DJ04,Prog,2.6,3.2,0.6,2.25,12,7
DJ04,Robo,3.1,3.1,0,2.5,12,7
DJ04,Desi,3.1,2.8,-0.3,2.5,12,7
DT01,Prog,3.3,2.4,-0.9,3,11,6
DT01,Robo,2.9,2.6,-0.3,3.5,11,6
DT01,Desi,2.7,2.6,-0.1,4.75,11,6
DT02,Prog,3,3.8,0.8,3.75,12,7
DT02,Robo,4,3.5,-0.5,3.5,12,7
DT02,Desi,3.2,3,-0.2,5,12,7
DT03,Prog,2.9,2.8,-0.1,4,12,7
DT03,Robo,3.2,4,0.8,3.75,12,7
DT03,Desi,2.9,3,0.1,4.25,12,7
ES01,Prog,3.3,3.8,0.5,3.5,10,4
ES01,Robo,3.4,3.8,0.4,3,10,4
ES01,Desi,3.1,3.7,0.6,4.5,10,4
ES02,Prog,3.1,3,-0.1,3,10,5
ES02,Robo,3.1,3.6,0.5,3,10,5
ES02,Desi,3.4,3.2,-0.2,3.75,10,5
MJ01,Prog,2.7,3.3,0.6,3,13,8
MJ01,Robo,2.5,3.8,1.3,3.5,13,8
MJ01,Desi,3.1,3.5,0.4,4,13,8
MJ02,Prog,2.9,3.4,0.5,3,14,9
MJ02,Robo,3,3.5,0.5,3.75,14,9
MJ02,Desi,3.4,3.1,-0.3,4,14,9
MT01,Prog,2.9,3.2,0.3,3.75,14,9
MT01,Robo,3.8,3.5,-0.3,4,14,9
MT01,Desi,3.5,3.1,-0.4,4.5,14,9
